Time elapsed was ,442090424463,ns, or ,442.090424463,s
Time elapsed was ,439487088864,ns , or ,439.487088864,s
Time elapsed was ,438973745157,ns , or ,438.973745157,s
Time elapsed was ,438600744507,ns , or ,438.600744507,s
Time elapsed was ,438316210762,ns , or ,438.316210762,s
Time elapsed was ,437648126550,ns , or ,437.64812655,s
Time elapsed was ,440090330426,ns  , or ,440.090330426,s
Time elapsed was ,443846799153,ns , or ,443.846799153,s
Time elapsed was ,439515023231,ns , or ,439.515023231,s
Time elapsed was ,439599168185,ns  , or ,439.599168185,s
Average,439816766129.8,ns, ,439.8167661298,s
